Average Estimated Harvest Rates,,,,,,,,,,,
Age,Year,Mean,,,,,,,,,
A,2018,0.348714234,,,,,,,,,
A,2019,0.398972758,,,,,,,,,
A,2020,0.339898655,,,,,,,,,
A,2021,0.332028222,,,,,,,,,
J,2018,0.069483832,,,,,,,,,
J,2019,0.073482692,,,,,,,,,
J,2020,0.060683635,,,,,,,,,
J,2021,0.063658384,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Average Estimated Weekly Survival Rate,,,,,,,,,,,
Age,Mean,,,,,,,,,,
A,0.990811789,,,,,,,,,,
J,0.98314401,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Estimated Adult Abundance,,,,,,,,,,,
WMD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7,40.84324444,77.93564444,107.1444,135.0798667,101.6216889,89.83168889,106.4528,76.62786667,77.84626667,104.0758667,56.28457778
8,2.329911111,6.769422222,5.921377778,28.57866667,11.62093333,26.52906667,28.47662222,19.75053333,23.6724,44.93217778,23.14711111
9,3.186666667,12.73457778,24.8936,22.14524444,15.20613333,10.22946667,16.00804444,18.264,11.67786667,5.439733333,19.94493333
10,7.270355556,13.888,24.06217778,10.99533333,21.74657778,17.69368889,13.20453333,16.55982222,10.28542222,16.18933333,21.61395556
11,43.93293333,54.86795556,75.50448889,74.58728889,67.31968889,69.76564444,79.16755556,76.43155556,119.0063556,79.38315556,87.64537778
12,272.9694667,374.0333333,441.2272444,369.8473778,397.1726667,354.4447556,460.9781778,327.3425778,355.3723111,302.3904,401.6282222
13,144.7110222,234.2032444,348.5314222,317.6398222,235.4715556,235.6925333,186.3745778,208.4618222,245.3591111,190.1625778,141.0617333
14,80.4,99.73951111,117.8839556,80.15591111,93.90902222,98.90724444,91.55484444,107.7911111,116.7816444,105.6110667,68.28151111
15,953.3047111,1302.254489,1221.072667,1108.805556,1181.6724,1243.1868,1478.704844,1425.093022,1352.454978,1290.058844,1390.863822
16,817.472,1079.455422,1274.873333,1105.785778,794.1301333,787.7857333,950.0874667,1068.042089,1194.377733,985.5220889,984.9432444
17,676.0083556,852.7470222,1118.481467,957.5855556,640.1630667,762.1915556,771.7877778,958.8704889,886.6764444,705.2497333,659.7393778
18,149.1632444,173.3109778,246.5177333,185.6644444,130.3266222,128.7476889,151.0108444,186.5151111,201.2736889,159.1070667,148.6137778
19,57.77004444,70.55244444,82.17151111,68.78044444,63.6672,39.2532,33.57524444,63.62231111,40.97328889,48.85662222,38.91711111
20,618.1649333,837.8902222,810.4279556,747.1939111,819.3797333,742.1895556,1343.0088,1132.405956,1163.3096,1193.032578,1204.537511
21,978.4014667,1286.412578,1003.834,958.0680444,1034.9672,1132.984444,1142.370578,1374.413733,1488.194933,1349.2332,1410.3908
22,1433.9656,1700.194711,1918.526933,1667.508089,1398.790889,1339.307022,1735.918533,1784.105111,1986.811289,1683.725733,1230.377778
23,1348.913289,1413.669333,1807.179644,1687.523067,1445.005556,1206.724089,1511.047289,1994.863733,2268.687511,1911.805067,1554.956356
24,589.0096889,810.3800889,709.0168,660.7891556,757.6007111,638.8174667,498.0595556,342.5781333,288.0691556,241.1548444,347.8107556
25,2763.879467,3232.475244,3414.912044,3318.637867,2912.004533,2721.150044,3382.009956,3950.969556,4310.072667,3060.504444,3071.925022
26,466.1960444,639.6916,628.9839111,605.7940444,469.3417778,574.8824444,667.5782222,846.4342667,880.5579111,600.1078667,546.8136
28,143.5569778,124.6852889,131.4285333,100.2005333,75.83182222,67.02186667,115.7654222,108.9048889,123.4187556,147.7944889,137.9452
,,,,,,,,,,,
,,,,,,,,,,,
Estimated Juvenile Abundance ,,,,,,,,,,,
WMD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7,196.4216889,250.0617333,346.4073778,203.6131556,199.7850667,300.2185778,152.8700889,154.0258667,257.3792444,53.84168889,175.7361333
8,18.36106667,6.369688889,79.82782222,1.039288889,65.38364444,77.35168889,23.34195556,45.65631111,114.6147111,11.84742222,208.0993333
9,21.57706667,59.39235556,53.2156,31.77995556,13.85075556,47.46751111,44.79111111,14.59968889,2.2404,60.73986667,32.68817778
10,44.62604444,55.12351111,1.824844444,65.34111111,26.45173333,18.92204444,36.96328889,17.64355556,39.89524444,50.84128889,144.058
